,Minirals,Prob
82,Chlorite,0.5842669606208801
83,Biotite,0.5581185817718506
84,Chlorite,0.44997695088386536
85,Tourmaline,0.3144637644290924
86,Tourmaline,0.7427551746368408
87,Tourmaline,0.5522557497024536
88,Tourmaline,0.7307645082473755
89,Chlorite,0.5678920745849609
90,Chlorite,0.7115557789802551
91,Chlorite,0.7380968332290649
92,Chlorite,0.6244940161705017
93,Chlorite,0.6034218072891235
94,Chlorite,0.7196791172027588
95,Chlorite,0.757256269454956
96,Chlorite,0.7228313684463501
97,Chlorite,0.6199706196784973
98,Chlorite,0.7297930121421814
99,Chlorite,0.757641613483429
100,Muscovite,0.5617548227310181
101,Muscovite,0.8032805323600769
102,Muscovite,0.9029845595359802
103,Muscovite,0.6994116902351379
104,Biotite,0.428175687789917
105,Tourmaline,0.4104354977607727
106,Muscovite,0.49096158146858215
107,Chlorite,0.47191983461380005
108,Biotite,0.3399224579334259
109,Muscovite,0.4479309916496277
110,Muscovite,0.6845802068710327
111,Muscovite,0.5751118063926697
112,Muscovite,0.8704361319541931
113,Muscovite,0.657427966594696
114,Muscovite,0.43050268292427063
115,Muscovite,0.8421720266342163
116,Muscovite,0.7648518681526184
117,Muscovite,0.7546082735061646
118,Muscovite,0.657418429851532
119,Chlorite,0.5609519481658936
120,Tourmaline,0.43112292885780334
121,Muscovite,0.5380556583404541
122,Tourmaline,0.2902366816997528
123,Muscovite,0.6013776063919067
124,Tourmaline,0.3731442093849182
125,Tourmaline,0.7631368637084961
126,Tourmaline,0.36352086067199707
127,Tourmaline,0.3437959849834442
128,Tourmaline,0.30480867624282837
129,Chlorite,0.33655059337615967
130,Chlorite,0.4311380088329315
131,Chlorite,0.4311380088329315
132,Muscovite,0.4130401611328125
133,Quartz,0.4144597053527832
134,Muscovite,0.8364784121513367
135,Muscovite,0.8582717180252075
136,Muscovite,0.4841076135635376
137,Muscovite,0.4766372740268707
138,Muscovite,0.28469446301460266
139,Quartz,0.9445611834526062
140,Quartz,0.891095757484436
141,Quartz,0.8778016567230225
142,Muscovite,0.5644806027412415
143,Muscovite,0.5811957120895386
144,Muscovite,0.3892746865749359
145,Quartz,0.4625319540500641
146,Muscovite,0.7423911094665527
147,Muscovite,0.4520459771156311
148,Muscovite,0.5491456389427185
149,Muscovite,0.350756973028183
150,Muscovite,0.3502919673919678
151,Biotite,0.5433750152587891
152,Chlorite,0.7127650380134583
153,Chlorite,0.5568665862083435
154,Chlorite,0.7610495686531067
155,Chlorite,0.6803895235061646
156,Chlorite,0.6551332473754883
157,Chlorite,0.7106859087944031
158,Chlorite,0.7169461846351624
159,Chlorite,0.65839684009552
160,Chlorite,0.41697874665260315
161,Chlorite,0.712893545627594
162,Muscovite,0.45456767082214355
163,Muscovite,0.5527923703193665
164,Muscovite,0.4296033978462219
165,Muscovite,0.6513710021972656
166,Muscovite,0.5632830262184143
167,Quartz,0.7116597294807434
168,Quartz,0.35551998019218445
169,Quartz,0.5701916813850403
170,Tourmaline,0.37197914719581604
171,Quartz,0.3390130400657654
172,Tourmaline,0.36237281560897827
173,Tourmaline,0.6675041317939758
174,Muscovite,0.45646610856056213
175,Muscovite,0.4031180739402771
176,Muscovite,0.7257384061813354
177,Muscovite,0.3286226987838745
178,Muscovite,0.3757753372192383
179,Quartz,0.7873232364654541
180,Quartz,0.6674990057945251
181,Quartz,0.5335894227027893
182,Chlorite,0.4311380088329315
183,Chlorite,0.4311380088329315
184,Muscovite,0.5187397599220276
185,Chlorite,0.4746614396572113
186,Muscovite,0.6635757684707642
187,Muscovite,0.7078666090965271
188,Muscovite,0.5248641967773438
